lon,lat,event_no,duration,date_start,date_peak,date_end,intensity_mean,intensity_max,intensity_cumulative
147.625,-18.875,71,10,2013-11-18,2013-11-25,2013-11-27,1.227,1.7,12.27
147.625,-18.875,72,5,2015-01-17,2015-01-20,2015-01-21,1.504,1.57,7.52
147.625,-18.875,73,5,2015-01-25,2015-01-26,2015-01-29,1.38,1.59,6.9
147.625,-18.875,74,9,2015-03-04,2015-03-06,2015-03-12,1.39,1.75,12.51
147.625,-18.875,75,8,2015-04-04,2015-04-05,2015-04-11,1.22,1.4,9.76
147.625,-18.875,76,8,2015-04-18,2015-04-24,2015-04-25,1.146,1.55,9.17
147.625,-18.875,77,13,2015-05-02,2015-05-06,2015-05-14,0.983,1.12,12.78
147.625,-18.875,78,5,2016-02-17,2016-02-17,2016-02-21,1.272,1.82,6.36
147.625,-18.875,79,43,2016-02-26,2016-02-29,2016-04-08,1.172,1.57,50.39
147.625,-18.875,80,12,2016-04-30,2016-05-04,2016-05-11,1.302,1.78,15.62
147.625,-18.875,81,55,2016-05-23,2016-07-05,2016-07-16,1.443,1.84,79.35
147.625,-18.875,82,16,2016-07-20,2016-07-27,2016-08-04,1.314,1.67,21.03
147.625,-18.875,83,11,2016-09-25,2016-10-02,2016-10-05,1.492,1.79,16.41
147.625,-18.875,84,11,2016-11-04,2016-11-10,2016-11-14,1.457,1.86,16.03
147.625,-18.875,85,5,2017-01-19,2017-01-21,2017-01-23,1.534,1.91,7.67
147.625,-18.875,86,11,2017-02-14,2017-02-18,2017-02-24,1.249,2.05,13.74
147.625,-18.875,87,14,2017-03-13,2017-03-18,2017-03-26,1.517,1.97,21.24
147.625,-18.875,88,7,2017-03-30,2017-04-02,2017-04-05,1.079,1.14,7.55
147.625,-18.875,89,10,2017-08-17,2017-08-23,2017-08-26,1.181,1.29,11.81
147.625,-18.875,90,5,2017-09-05,2017-09-06,2017-09-09,1.064,1.14,5.32
