lon,lat,doy,seas,thresh
112.875,-28.875,169,22.46,23.88
112.875,-28.875,170,22.42,23.84
112.875,-28.875,171,22.39,23.81
112.875,-28.875,172,22.35,23.77
112.875,-28.875,173,22.31,23.73
112.875,-28.875,174,22.28,23.7
112.875,-28.875,175,22.24,23.66
112.875,-28.875,176,22.2,23.62
112.875,-28.875,177,22.17,23.59
112.875,-28.875,178,22.13,23.55
112.875,-28.875,179,22.09,23.51
112.875,-28.875,180,22.05,23.47
112.875,-28.875,181,22.01,23.43
112.875,-28.875,182,21.97,23.4
112.875,-28.875,183,21.93,23.35
112.875,-28.875,184,21.89,23.31
112.875,-28.875,185,21.85,23.27
112.875,-28.875,186,21.81,23.22
112.875,-28.875,187,21.77,23.18
112.875,-28.875,188,21.74,23.14
112.875,-28.875,189,21.7,23.1
112.875,-28.875,190,21.66,23.07
112.875,-28.875,191,21.63,23.03
112.875,-28.875,192,21.6,22.99
112.875,-28.875,193,21.57,22.96
112.875,-28.875,194,21.54,22.92
112.875,-28.875,195,21.51,22.88
112.875,-28.875,196,21.48,22.85
112.875,-28.875,197,21.45,22.81
112.875,-28.875,198,21.42,22.77
112.875,-28.875,199,21.39,22.73
112.875,-28.875,200,21.37,22.68
112.875,-28.875,201,21.34,22.64
112.875,-28.875,202,21.31,22.6
112.875,-28.875,203,21.28,22.56
112.875,-28.875,204,21.25,22.52
112.875,-28.875,205,21.22,22.48
112.875,-28.875,206,21.19,22.44
112.875,-28.875,207,21.16,22.4
112.875,-28.875,208,21.13,22.36
112.875,-28.875,209,21.1,22.32
112.875,-28.875,210,21.07,22.28
112.875,-28.875,211,21.04,22.23
112.875,-28.875,212,21.01,22.19
112.875,-28.875,213,20.98,22.15
112.875,-28.875,214,20.96,22.11
112.875,-28.875,215,20.93,22.08
112.875,-28.875,216,20.9,22.04
112.875,-28.875,217,20.88,22.01
112.875,-28.875,218,20.85,21.97
112.875,-28.875,219,20.83,21.94
112.875,-28.875,220,20.8,21.9
112.875,-28.875,221,20.78,21.86
112.875,-28.875,222,20.75,21.83
112.875,-28.875,223,20.73,21.8
112.875,-28.875,224,20.71,21.77
112.875,-28.875,225,20.68,21.74
112.875,-28.875,226,20.66,21.71
112.875,-28.875,227,20.64,21.68
112.875,-28.875,228,20.61,21.65
112.875,-28.875,229,20.59,21.62
112.875,-28.875,230,20.57,21.6
112.875,-28.875,231,20.55,21.58
112.875,-28.875,232,20.53,21.56
112.875,-28.875,233,20.51,21.54
112.875,-28.875,234,20.49,21.52
112.875,-28.875,235,20.47,21.51
112.875,-28.875,236,20.45,21.49
112.875,-28.875,237,20.44,21.47
112.875,-28.875,238,20.42,21.45
112.875,-28.875,239,20.4,21.43
112.875,-28.875,240,20.38,21.41
112.875,-28.875,241,20.36,21.4
112.875,-28.875,242,20.35,21.38
112.875,-28.875,243,20.33,21.36
112.875,-28.875,244,20.31,21.34
112.875,-28.875,245,20.29,21.32
112.875,-28.875,246,20.28,21.3
112.875,-28.875,247,20.26,21.28
112.875,-28.875,248,20.24,21.26
112.875,-28.875,249,20.22,21.24
112.875,-28.875,250,20.2,21.22
112.875,-28.875,251,20.19,21.2
112.875,-28.875,252,20.17,21.19
112.875,-28.875,253,20.15,21.17
112.875,-28.875,254,20.14,21.16
112.875,-28.875,255,20.13,21.15
112.875,-28.875,256,20.11,21.14
112.875,-28.875,257,20.1,21.14
112.875,-28.875,258,20.08,21.14
112.875,-28.875,259,20.07,21.13
112.875,-28.875,260,20.06,21.13
112.875,-28.875,261,20.04,21.13
112.875,-28.875,262,20.03,21.13
112.875,-28.875,263,20.02,21.12
112.875,-28.875,264,20.01,21.12
112.875,-28.875,265,20,21.11
112.875,-28.875,266,19.98,21.1
112.875,-28.875,267,19.98,21.09
112.875,-28.875,268,19.97,21.07
112.875,-28.875,269,19.96,21.06
112.875,-28.875,270,19.96,21.05
112.875,-28.875,271,19.96,21.05
112.875,-28.875,272,19.95,21.04
112.875,-28.875,273,19.95,21.03
112.875,-28.875,274,19.95,21.03
112.875,-28.875,275,19.96,21.03
112.875,-28.875,276,19.96,21.03
112.875,-28.875,277,19.96,21.03
112.875,-28.875,278,19.97,21.04
112.875,-28.875,279,19.97,21.04
112.875,-28.875,280,19.98,21.05
112.875,-28.875,281,19.99,21.06
112.875,-28.875,282,19.99,21.07
112.875,-28.875,283,20,21.07
112.875,-28.875,284,20.01,21.08
112.875,-28.875,285,20.02,21.08
112.875,-28.875,286,20.03,21.08
112.875,-28.875,287,20.04,21.08
112.875,-28.875,288,20.05,21.08
112.875,-28.875,289,20.06,21.07
112.875,-28.875,290,20.07,21.07
112.875,-28.875,291,20.08,21.06
112.875,-28.875,292,20.1,21.06
112.875,-28.875,293,20.11,21.07
112.875,-28.875,294,20.13,21.07
112.875,-28.875,295,20.14,21.08
112.875,-28.875,296,20.16,21.1
112.875,-28.875,297,20.18,21.12
112.875,-28.875,298,20.2,21.14
112.875,-28.875,299,20.22,21.16
112.875,-28.875,300,20.25,21.19
112.875,-28.875,301,20.27,21.22
112.875,-28.875,302,20.29,21.26
112.875,-28.875,303,20.32,21.29
112.875,-28.875,304,20.34,21.32
112.875,-28.875,305,20.37,21.36
112.875,-28.875,306,20.4,21.39
112.875,-28.875,307,20.43,21.43
112.875,-28.875,308,20.45,21.47
112.875,-28.875,309,20.48,21.5
112.875,-28.875,310,20.51,21.53
112.875,-28.875,311,20.54,21.57
112.875,-28.875,312,20.57,21.6
112.875,-28.875,313,20.6,21.64
112.875,-28.875,314,20.63,21.68
112.875,-28.875,315,20.65,21.71
112.875,-28.875,316,20.68,21.75
112.875,-28.875,317,20.71,21.79
112.875,-28.875,318,20.74,21.82
112.875,-28.875,319,20.77,21.86
112.875,-28.875,320,20.8,21.9
112.875,-28.875,321,20.83,21.94
112.875,-28.875,322,20.87,21.98
112.875,-28.875,323,20.9,22.01
112.875,-28.875,324,20.93,22.05
112.875,-28.875,325,20.96,22.08
112.875,-28.875,326,20.99,22.11
112.875,-28.875,327,21.02,22.14
112.875,-28.875,328,21.05,22.16
112.875,-28.875,329,21.07,22.19
112.875,-28.875,330,21.1,22.21
112.875,-28.875,331,21.13,22.23
112.875,-28.875,332,21.15,22.25
112.875,-28.875,333,21.18,22.27
112.875,-28.875,334,21.2,22.3
112.875,-28.875,335,21.23,22.32
112.875,-28.875,336,21.25,22.34
112.875,-28.875,337,21.27,22.36
112.875,-28.875,338,21.3,22.38
112.875,-28.875,339,21.32,22.4
112.875,-28.875,340,21.34,22.43
112.875,-28.875,341,21.37,22.46
112.875,-28.875,342,21.39,22.49
112.875,-28.875,343,21.42,22.53
112.875,-28.875,344,21.44,22.56
112.875,-28.875,345,21.47,22.6
112.875,-28.875,346,21.49,22.63
112.875,-28.875,347,21.52,22.67
112.875,-28.875,348,21.55,22.71
112.875,-28.875,349,21.57,22.75
112.875,-28.875,350,21.6,22.79
112.875,-28.875,351,21.63,22.83
112.875,-28.875,352,21.65,22.86
112.875,-28.875,353,21.68,22.9
112.875,-28.875,354,21.7,22.94
112.875,-28.875,355,21.73,22.97
112.875,-28.875,356,21.75,23.01
112.875,-28.875,357,21.78,23.05
112.875,-28.875,358,21.81,23.09
112.875,-28.875,359,21.83,23.12
112.875,-28.875,360,21.86,23.16
112.875,-28.875,361,21.88,23.19
112.875,-28.875,362,21.91,23.22
112.875,-28.875,363,21.94,23.26
112.875,-28.875,364,21.96,23.29
112.875,-28.875,365,21.99,23.32
112.875,-28.875,366,22.02,23.35
