lon,lat,event_no,duration,date_start,date_peak,date_end,intensity_mean,intensity_max,intensity_cumulative
112.875,-28.875,1,6,1982-08-07,1982-08-10,1982-08-12,1.327,1.47,7.96
112.875,-28.875,2,5,1983-01-16,1983-01-18,1983-01-20,1.608,1.7,8.04
112.875,-28.875,3,11,1983-06-06,1983-06-12,1983-06-16,1.971,2.45,21.68
112.875,-28.875,4,15,1984-06-28,1984-07-02,1984-07-12,1.83,2.12,27.45
112.875,-28.875,5,5,1984-07-28,1984-07-31,1984-08-01,1.288,1.36,6.44
112.875,-28.875,6,18,1984-09-21,1984-10-05,1984-10-08,1.734,2.41,31.22
112.875,-28.875,7,12,1985-02-23,1985-03-04,1985-03-06,1.596,1.81,19.15
112.875,-28.875,8,7,1987-10-01,1987-10-04,1987-10-07,1.317,1.51,9.22
112.875,-28.875,9,7,1989-04-12,1989-04-16,1989-04-18,1.73,1.87,12.11
112.875,-28.875,10,6,1989-04-25,1989-04-29,1989-04-30,2.138,2.3,12.83
112.875,-28.875,11,20,1989-05-04,1989-05-16,1989-05-23,1.948,2.22,38.96
112.875,-28.875,12,5,1989-08-09,1989-08-11,1989-08-13,1.408,1.58,7.04
112.875,-28.875,13,12,1989-08-30,1989-09-03,1989-09-10,1.393,1.73,16.72
112.875,-28.875,14,10,1990-02-25,1990-02-26,1990-03-06,1.755,2.1,17.55
112.875,-28.875,15,8,1991-09-10,1991-09-12,1991-09-17,1.265,1.42,10.12
112.875,-28.875,16,8,1996-02-08,1996-02-13,1996-02-15,1.804,2.17,14.43
112.875,-28.875,17,16,1996-06-06,1996-06-17,1996-06-21,1.776,2.2,28.41
112.875,-28.875,18,5,1996-07-24,1996-07-28,1996-07-28,1.52,1.6,7.6
112.875,-28.875,19,9,1996-08-17,1996-08-19,1996-08-25,1.332,1.54,11.99
112.875,-28.875,20,9,1996-09-01,1996-09-03,1996-09-09,1.204,1.26,10.84
112.875,-28.875,21,46,1996-11-08,1996-12-21,1996-12-23,1.573,2.59,72.38
112.875,-28.875,22,23,1997-01-06,1997-01-17,1997-01-28,2.068,2.66,47.56
112.875,-28.875,23,5,1998-08-29,1998-09-01,1998-09-02,1.372,1.52,6.86
112.875,-28.875,24,5,1998-09-06,1998-09-08,1998-09-10,1.454,1.93,7.27
112.875,-28.875,25,10,1999-04-05,1999-04-05,1999-04-14,1.9,2.76,19
112.875,-28.875,26,104,1999-04-29,1999-05-18,1999-08-10,2.241,2.92,233.09
112.875,-28.875,27,8,1999-12-30,2000-01-02,2000-01-06,2.147,2.74,17.18
112.875,-28.875,28,6,2000-02-12,2000-02-15,2000-02-17,1.675,2.01,10.05
112.875,-28.875,29,15,2000-04-09,2000-04-23,2000-04-23,1.734,1.88,26.01
