lon,lat,event_no,duration,date_start,date_peak,date_end,intensity_mean,intensity_max,intensity_cumulative
112.875,-28.875,30,13,2000-04-29,2000-05-10,2000-05-11,2.093,2.32,27.21
112.875,-28.875,31,5,2000-05-15,2000-05-16,2000-05-19,1.548,1.59,7.74
112.875,-28.875,32,5,2003-03-07,2003-03-11,2003-03-11,1.458,1.63,7.29
112.875,-28.875,33,5,2005-07-25,2005-07-25,2005-07-29,1.438,1.56,7.19
112.875,-28.875,34,6,2006-03-05,2006-03-06,2006-03-10,2.388,2.8,14.33
112.875,-28.875,35,24,2007-07-14,2007-07-21,2007-08-06,1.442,1.71,34.61
112.875,-28.875,36,8,2007-08-13,2007-08-17,2007-08-20,1.264,1.54,10.11
112.875,-28.875,37,8,2008-02-08,2008-02-13,2008-02-15,2.291,2.94,18.33
112.875,-28.875,38,28,2008-04-02,2008-04-16,2008-04-29,2.232,3.56,62.5
112.875,-28.875,39,7,2008-05-06,2008-05-07,2008-05-12,1.92,2.2,13.44
112.875,-28.875,40,13,2008-09-22,2008-09-29,2008-10-04,1.684,1.98,21.89
112.875,-28.875,41,9,2008-10-19,2008-10-20,2008-10-27,1.374,1.91,12.37
112.875,-28.875,42,8,2009-03-19,2009-03-24,2009-03-26,1.562,1.84,12.5
112.875,-28.875,43,18,2010-09-23,2010-09-29,2010-10-10,1.669,2.36,30.05
112.875,-28.875,44,6,2010-10-15,2010-10-19,2010-10-20,1.367,1.67,8.2
112.875,-28.875,45,43,2010-10-31,2010-11-19,2010-12-12,1.807,2.79,77.7
112.875,-28.875,46,106,2010-12-22,2011-02-25,2011-04-06,3.05,6.13,323.32
112.875,-28.875,47,5,2011-04-15,2011-04-17,2011-04-19,2.032,2.57,10.16
112.875,-28.875,48,7,2011-04-24,2011-04-27,2011-04-30,1.957,2.14,13.7
112.875,-28.875,49,8,2011-05-28,2011-05-29,2011-06-04,1.629,1.8,13.03
112.875,-28.875,50,6,2011-06-19,2011-06-20,2011-06-24,1.677,1.85,10.06
112.875,-28.875,51,9,2011-11-08,2011-11-15,2011-11-16,1.341,1.54,12.07
112.875,-28.875,52,7,2011-11-20,2011-11-23,2011-11-26,1.489,2.04,10.42
112.875,-28.875,53,6,2011-11-30,2011-12-03,2011-12-05,1.385,1.57,8.31
112.875,-28.875,54,12,2011-12-16,2011-12-21,2011-12-27,1.502,1.72,18.03
112.875,-28.875,55,46,2012-01-11,2012-01-28,2012-02-25,2.162,3.36,99.44
112.875,-28.875,56,24,2012-03-02,2012-03-11,2012-03-25,1.784,2.46,42.81
112.875,-28.875,57,12,2012-04-01,2012-04-10,2012-04-12,1.715,2.17,20.58
112.875,-28.875,58,24,2012-12-27,2012-12-31,2013-01-19,2.038,3.3,48.92
112.875,-28.875,59,8,2013-02-10,2013-02-12,2013-02-17,1.809,2.19,14.47
112.875,-28.875,60,13,2013-02-26,2013-03-09,2013-03-10,1.548,1.93,20.12
112.875,-28.875,61,5,2013-06-18,2013-06-20,2013-06-22,1.58,1.66,7.9
112.875,-28.875,62,53,2014-07-31,2014-08-12,2014-09-21,1.605,2.33,85.08
112.875,-28.875,63,8,2014-10-01,2014-10-04,2014-10-08,1.242,1.4,9.94
112.875,-28.875,64,5,2014-10-22,2014-10-23,2014-10-26,1.09,1.18,5.45
112.875,-28.875,65,11,2015-04-27,2015-05-03,2015-05-07,2.109,2.69,23.2
112.875,-28.875,66,5,2015-09-30,2015-10-02,2015-10-04,1.778,2.16,8.89
112.875,-28.875,67,23,2015-10-09,2015-10-29,2015-10-31,1.256,1.92,28.9
