lon,lat,doy,seas,thresh
147.625,-18.875,1,28.21,29.23
147.625,-18.875,2,28.22,29.24
147.625,-18.875,3,28.24,29.25
147.625,-18.875,4,28.25,29.27
147.625,-18.875,5,28.27,29.28
147.625,-18.875,6,28.28,29.29
147.625,-18.875,7,28.3,29.31
147.625,-18.875,8,28.32,29.32
147.625,-18.875,9,28.33,29.34
147.625,-18.875,10,28.35,29.35
147.625,-18.875,11,28.37,29.37
147.625,-18.875,12,28.39,29.39
147.625,-18.875,13,28.4,29.4
147.625,-18.875,14,28.42,29.42
147.625,-18.875,15,28.44,29.44
147.625,-18.875,16,28.46,29.45
147.625,-18.875,17,28.47,29.47
147.625,-18.875,18,28.49,29.48
147.625,-18.875,19,28.5,29.49
147.625,-18.875,20,28.51,29.5
147.625,-18.875,21,28.52,29.51
147.625,-18.875,22,28.53,29.52
147.625,-18.875,23,28.54,29.52
147.625,-18.875,24,28.55,29.53
147.625,-18.875,25,28.55,29.54
147.625,-18.875,26,28.56,29.55
147.625,-18.875,27,28.56,29.56
147.625,-18.875,28,28.57,29.56
147.625,-18.875,29,28.57,29.57
147.625,-18.875,30,28.58,29.58
147.625,-18.875,31,28.58,29.58
147.625,-18.875,32,28.59,29.59
147.625,-18.875,33,28.59,29.59
147.625,-18.875,34,28.6,29.59
147.625,-18.875,35,28.6,29.59
147.625,-18.875,36,28.6,29.59
147.625,-18.875,37,28.6,29.59
147.625,-18.875,38,28.59,29.58
147.625,-18.875,39,28.59,29.57
147.625,-18.875,40,28.58,29.56
147.625,-18.875,41,28.57,29.55
147.625,-18.875,42,28.56,29.54
147.625,-18.875,43,28.55,29.52
147.625,-18.875,44,28.54,29.51
147.625,-18.875,45,28.52,29.49
147.625,-18.875,46,28.51,29.48
147.625,-18.875,47,28.49,29.46
147.625,-18.875,48,28.48,29.45
147.625,-18.875,49,28.47,29.43
147.625,-18.875,50,28.45,29.42
147.625,-18.875,51,28.44,29.41
147.625,-18.875,52,28.43,29.4
147.625,-18.875,53,28.42,29.38
147.625,-18.875,54,28.4,29.37
147.625,-18.875,55,28.39,29.36
147.625,-18.875,56,28.38,29.34
147.625,-18.875,57,28.36,29.32
147.625,-18.875,58,28.35,29.3
147.625,-18.875,59,28.33,29.28
147.625,-18.875,60,28.31,29.26
147.625,-18.875,61,28.29,29.24
147.625,-18.875,62,28.27,29.21
147.625,-18.875,63,28.25,29.19
147.625,-18.875,64,28.22,29.17
147.625,-18.875,65,28.2,29.15
147.625,-18.875,66,28.18,29.13
147.625,-18.875,67,28.16,29.1
147.625,-18.875,68,28.14,29.08
147.625,-18.875,69,28.11,29.05
147.625,-18.875,70,28.09,29.03
147.625,-18.875,71,28.07,29.01
147.625,-18.875,72,28.05,28.99
147.625,-18.875,73,28.03,28.96
147.625,-18.875,74,28.01,28.94
147.625,-18.875,75,27.98,28.92
147.625,-18.875,76,27.96,28.89
147.625,-18.875,77,27.94,28.87
147.625,-18.875,78,27.91,28.84
147.625,-18.875,79,27.89,28.81
147.625,-18.875,80,27.86,28.78
147.625,-18.875,81,27.83,28.75
147.625,-18.875,82,27.81,28.72
147.625,-18.875,83,27.78,28.69
147.625,-18.875,84,27.75,28.66
147.625,-18.875,85,27.72,28.63
147.625,-18.875,86,27.69,28.6
147.625,-18.875,87,27.65,28.57
147.625,-18.875,88,27.62,28.53
147.625,-18.875,89,27.59,28.49
147.625,-18.875,90,27.55,28.46
147.625,-18.875,91,27.52,28.42
147.625,-18.875,92,27.49,28.38
147.625,-18.875,93,27.45,28.35
147.625,-18.875,94,27.42,28.31
